성과사업명,가중논문수,가중특허수,Y_총가중성과
한국표준과학연구원연구운영비지원(R&D)(주요사업비),472.56230158730153,412.111229,884.6735305873015
에너지인력양성(전력기금),599.1999999999999,282.5333333333333,881.7333333333332
첨단생산기술개발(R&D),106.08333333333333,773.2325346190476,879.3158679523809
한국에너지기술연구원연구운영비지원(R&D)(주요사업비),198.13730158730158,677.716665,875.8539665873016
해양수산생명공학기술개발,391.93571428571425,475.29999999996,867.2357142856742
원자력연구기반확충사업,571.6488095238095,291.85238095238094,863.5011904761905
에너지인력양성(전력기금)(R&D),572.4166666666666,291.0833333333333,863.5
한국고등과학원연구운영비지원,853.5928571428572,0.0,853.5928571428572
한국표준과학연구원연구운영비지원(주요사업비),481.0269841269841,372.4523809523809,853.4793650793649
"SW컴퓨팅산업원천기술개발(R&D,정보화)",139.31666666666666,708.633736,847.9504026666666
한국식품연구원연구운영비지원(R&D)(주요사업비),372.45,468.83332866666666,841.2833286666666
한국전기연구원연구운영비지원(주요사업비),169.10238095238094,669.1833333333333,838.2857142857142
건설기술연구(R&D),295.2690476190476,542.8303030484849,838.0993506675325
첨단생산기술개발,158.11666666666667,677.4095238095238,835.5261904761904
기술확산지원(R&D),24.9,805.6833333333333,830.5833333333333
한국전기연구원연구운영비지원(R&D)(주요사업비),180.11666666666665,650.4333293333333,830.549996
전자시스템산업핵심기술개발(R&D),126.47619047619047,702.116666,828.5928564761905
로봇산업핵심기술개발,110.67999999999999,717.11,827.79
정보통신방송표준개발지원(R&D),7.5,819.1666666666666,826.6666666666666
한국식품연구원연구운영비지원,351.3833333333333,473.3333333333333,824.7166666666667
스마트그리드핵심기술개발,89.61666666666667,733.8666666666667,823.4833333333333
로봇산업기술개발,102.78333333333332,717.2379365079365,820.0212698412698
한국기초과학지원연구원연구운영비지원(R&D)(주요사업비),623.313528138528,194.40613985714285,817.7196679956709
디자인혁신역량강화(R&D),11.5,796.8333333333334,808.3333333333334
ESS기술개발사업(R&D),126.57619047619048,680.5833303333334,807.1595208095239
교통물류연구,50.833333333333336,750.7690476190476,801.6023809523809
글로벌전문기술개발(주력및신산업),62.13333333333333,732.6,794.7333333333333
국과연연구개발,68.36666666666666,726.3333333333334,794.7
산업혁신인재성장지원,430.44087301587297,362.2893939393939,792.7302669552669
환경정책기반공공기술개발사업(R&D),221.51666666666665,571.2,792.7166666666667
SW전문인력역량강화(R&D),25.75238095238095,766.246666,791.9990469523809
IT·SW융합산업원천기술개발,104.53333333333333,683.9333333333333,788.4666666666666
한국전자통신연구원연구개발지원(정진기금),39.166666666666664,744.3533333333334,783.52
연구개발특구육성(R&D),11.0,772.3466636666667,783.3466636666667
ICT유망기술개발지원,6.7,776.4166666666666,783.1166666666667
디지털콘텐츠원천기술개발,82.78333333333333,685.55,768.3333333333333
암연구소및국가암관리사업본부운영(R&D),703.0619047619048,61.449997999999994,764.5119027619048
한국에너지기술연구원연구운영비지원(주요사업비),152.2,608.5,760.7
농림축산검역검사기술개발,338.43333333333334,418.15,756.5833333333333
에너지자원융합핵심기술개발(에특),136.8151515151515,618.45,755.2651515151515
기초연구실지원,496.2235714285714,258.42619047619047,754.6497619047618
글로벌화장품신소재·신기술연구개발지원,105.40238095238095,648.0333333333333,753.4357142857143
임상연구인프라조성(R&D),489.7880952380952,260.72658663492064,750.5146818730159
스마트그리드핵심기술개발(R&D),83.16666666666667,666.4999973333333,749.666664
산업집적지경쟁력강화,5.0,744.1166666666667,749.1166666666667
의료기기기술개발,274.14761904761906,474.36071428571427,748.5083333333333
철도기술연구사업(R&D),76.55,668.0,744.55
대구경북과학기술원연구운영비지원(주요사업비),265.0503968253968,478.7309523809524,743.7813492063492
국토교통기술사업화지원(R&D),31.833333333333332,707.3333326666667,739.1666660000001
해양수산생명공학기술개발(R&D),310.31666666666666,423.0444421110878,733.3611087777545
기계산업핵심기술개발사업,74.51666666666667,653.15,727.6666666666666
기술확산지원(정보통신),8.966666666666667,715.3333333333334,724.3000000000001
한국항공우주연구원연구운영비지원,104.61666666666666,619.1666666666666,723.7833333333333
