성과사업명,가중논문수,가중특허수,Y_총가중성과
글로벌연구실사업,400.02420634920634,142.58333333333331,542.6075396825397
농업정책지원기술개발사업,209.96666666666667,331.25,541.2166666666667
농림축산검역검사기술개발(R&D),216.91666666666666,322.5499996666667,539.4666663333334
한국세라믹기술원출연,106.39999999999999,432.2833333333333,538.6833333333333
"민군기술협력(R&D)(산업부,방사청)",89.76666666666667,448.8091733333333,538.57584
FTA대응경쟁력향상기술개발,268.0,269.9166666666667,537.9166666666667
한국한의학연구원연구운영비지원(주요사업비),228.08333333333334,308.75,536.8333333333334
정보보호핵심원천기술개발,39.03333333333333,496.3333333333333,535.3666666666667
플랜트연구(R&D),173.03333333333333,362.0,535.0333333333333
국책기술개발,295.06666666666666,239.83333333333334,534.9
"축산시험연구(R&D,책임운영)",186.83333333333334,344.0,530.8333333333334
감염병위기대응기술개발,267.8833333333333,262.8933333333333,530.7766666666666
바이오산업핵심기술개발,82.36666666666666,447.56666666666666,529.9333333333333
수출전략기술개발,141.25,387.25,528.5
원자력연구기반확충사업(R&D),379.09999999999997,147.883333,526.9833329999999
청정화력핵심기술개발(R&D),107.25,417.9523802857143,525.2023802857143
로봇산업기술개발(R&D),84.68333333333332,440.332247,525.0155803333333
첨단융복합콘텐츠기술개발(R&D),16.166666666666664,507.0833333333333,523.25
차세대지능형반도체기술개발(설계·제조)(R&D),39.983333333333334,482.499996,522.4833293333334
민군기술협력(R&D)(산업부),62.29285714285713,450.13333333333327,512.4261904761904
우수기업연구소육성사업(ATC+),64.05,439.2833333333333,503.3333333333333
농업과학기반기술연구,162.0,340.8333333333333,502.8333333333333
감염병위기대응기술개발(R&D),232.1702380952381,270.0166653333333,502.18690342857144
디자인산업기술개발,10.499999999999996,490.01666666666665,500.51666666666665
재료연구소연구운영비지원(R&D)(주요사업비),213.13333333333333,286.38570799999997,499.5190413333333
"원예특작시험연구(R&D,책임운영)",134.1,365.25,499.35
기상·지진See-At기술개발연구(R&D),307.56666666666666,190.58333266666668,498.1499993333333
에너지인력양성(에특),347.21666666666664,145.28333333333333,492.5
규제자유특구혁신사업육성,20.483333333333334,468.1666666666667,488.65000000000003
